foto,modello,prezzo
gommini bones1.jpg,Bushings 96A Hardcore Hard Set Pack inkl.Washer-Gommini-black,prezzo: € 14.99
gommini bones2.jpg,Bushings 81A Hardcore Soft Set Pack inkl.Washer-Gommini-white,prezzo: € 14.99
