foto,modello,prezzo
cera1.jpg,Santa-Cruz Classic Dot Skate Wax Box of 12- Cera da skate-natural,prezzo:€ 69.99
cera2.jpg,Toy-Machine Curb Wax-Cera da skate-purple,prezzo: € 7.99
cera3.jpg,Shortys Curb Candy Wax In A Box-Cera da skate-red,prezzo: € 9.99
cera4.jpg,Grizzly Grease-Cera da skate-royal,prezzo: € 13.99
cera5.jpg,Cortina Bearing Playboy Bunny-Cera da skate-red,prezzo: € 11.99
cera6.jpg,Almost Puck-Cera da skate-red,prezzo: € 7.99
cera7.jpg,Independent Kurb Killer Curb Wax-Cera da skate-red,prezzo: € 13.99
