foto,modello,prezzo
tavola santacruz.jpg,Delfino Tarot VX-Tavola-multicolored,prezzo: € 109.99 
tavola santacruz2.jpg,Transcend Dots VX-Tavola-black,prezzo: € 94.99 
tavola santacruz3.jpg,Wooten Crest VX-Tavola-multicolored,prezzo: € 109.99 
tavola santacruz4.jpg,Screaming Hand-Tavola-white,prezzo: € 79.99
tavola santacruz5.jpg,No Pattern Dot Everslick-Tavola-multicolored,prezzo: € 72.99 
tavola santacruz6.jpg,Johnson Other Side-Tavola-black,prezzo: € 79.99 
tavola santacruz7.jpg,Screaming Hand-Tavola-green,prezzo: € 79.99 
tavola santacruz8.jpg,Braun Drum Kit Everslick-Tavola-green,prezzo: € 79.99 
