foto,modello,prezzo
ruote bones.jpg,STF Ghosted 103A V5 Sidecut-Ruotewhite,prezzo: € 59.99
ruote bones2.jpg,STF Iron Sun 99A V1 Standard-uote-white,prezzo: € 54.99
ruote bones3.jpg,STF Gustavo Notorious103A V1 Standard-Ruote-white,prezzo: € 54.99
ruote bones4.jpg,STF Homoki Down 4 Life 103A V5 Sidecut-Ruote-white,prezzo: € 54.99
ruote bones5.jpg,100's OG 17 V1 100A-Ruote-orange,prezzo: € 34.99
