foto,modello,prezzo
truck indipendent.jpg,Hollow Reynolds Block Silver Mid-Truck-silver,prezzo: € 42.99
truck indipendent2.jpg,Stage 11 Bar Flat Black Standard-Truck-black,prezzo: € 42.99
truck indipendent3.jpg,Stage 11 MID Pro Tiago Lemos-Truck-silver,prezzo: € 42.99
truck indipendent4.jpg, Stage 11 T-Hanger-Truck-silver,prezzo: € 34.99
truck indipendent5.jpg, Stage 11 Polished Standard-Truck-silver,prezzo: € 34.99
truck indipendent6.jpg,Stage 11 Forged Titanium-Truck-silver-silver,prezzo: € 59.99 
