foto,modello,prezzo
truck ace.jpg,77 AF1-Truck-gold,prezzo: € 41.99
truck ace2.jpg,Classic 44-Truck-matte-black,prezzo: € 34.99
truck ace3.jpg,Classic 66-Truck-polished-red,prezzo: € 36.99
truck ace4.jpg,22 AF1-Truck-matte-black,prezzo: € 41.99 
truck ace5.jpg,Classic 55-Truck-sapphire,prezzo: € 34.99
truck ace6.jpg,Classic 66-Truck-silver,prezzo: € 33.99 
